,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,age,work_year,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,month_on_book,target
12316,5051097,0,0,0,0,69.75,Pensioner,Secondary / secondary special,Widow,Municipal apartment,60.23561644,7.247955325,0,1,0,Unknown,1,26,0
36151,5024316,0,0,1,0,216,Pensioner,Secondary / secondary special,Widow,House / apartment,54.86027397,7.247955325,0,0,0,Unknown,1,35,1
18924,5078946,0,0,1,more,180,Working,Incomplete higher,Separated,House / apartment,33.56986301,9.578082192,1,0,0,Unknown,more,51,1
36396,5125716,0,1,1,0,135,Working,Lower secondary,Married,House / apartment,44.96712329,1.704109589,0,1,0,High skill tech staff,2,21,1
27,5008838,1,0,1,1,405,Commercial associate,Higher education,Married,House / apartment,32.44383562,5.523287671,0,0,0,Managers,more,39,0
4443,5024448,1,1,1,0,180,Working,Secondary / secondary special,Married,House / apartment,34.53150685,7.178082192,1,1,0,Managers,2,48,1
22432,5091902,0,1,1,0,225,Working,Secondary / secondary special,Widow,House / apartment,54.27123288,4.216438356,0,0,0,Cleaning staff,1,27,1
9983,5044567,1,1,1,more,112.5,Working,Secondary / secondary special,Married,House / apartment,33.06849315,0.682191781,1,0,0,Unknown,more,45,0
36156,5025127,1,0,1,0,292.5,Working,Secondary / secondary special,Married,House / apartment,30.44109589,9.178082192,0,0,0,High skill tech staff,2,20,1
33169,5142240,0,1,1,0,270,State servant,Higher education,Married,House / apartment,44.9890411,22.54794521,0,0,0,Managers,2,19,1
12222,5050950,0,0,0,0,135,Commercial associate,Higher education,Married,House / apartment,33.57808219,11.04383562,1,1,1,Core staff,2,25,0
32539,5137228,0,0,0,0,180,Working,Higher education,Married,House / apartment,29.77534247,3.468493151,1,1,1,Accountants,2,53,1
36256,5066710,0,0,0,0,247.5,Pensioner,Secondary / secondary special,Widow,House / apartment,67.15342466,7.247955325,0,0,0,Unknown,1,42,1
36380,5117135,0,0,1,0,270,Working,Higher education,Single / not married,House / apartment,28.46575342,2.180821918,0,0,0,Sales staff,1,24,1
15682,5062485,0,0,1,1,67.5,Working,Incomplete higher,Married,House / apartment,35.8739726,9.463013699,0,0,0,Unknown,more,16,1
29735,5118167,1,1,0,more,225,Working,Secondary / secondary special,Married,House / apartment,35.07123288,11.9369863,0,0,0,Laborers,more,48,1
34099,5143374,0,0,0,0,112.5,Pensioner,Secondary / secondary special,Married,House / apartment,65.75616438,7.247955325,0,0,0,Unknown,2,32,1
9822,5042210,0,0,0,0,225,Commercial associate,Higher education,Married,House / apartment,28.92876712,1.175342466,1,1,0,Drivers,2,59,0
10451,5045530,0,0,1,0,112.5,Pensioner,Secondary / secondary special,Widow,House / apartment,60.6,7.247955325,0,0,0,Unknown,1,25,0
15439,5062168,0,0,1,0,135,Pensioner,Secondary / secondary special,Widow,House / apartment,66.64109589,7.247955325,0,0,0,Unknown,1,49,1
29850,5118392,1,1,0,0,135,Commercial associate,Secondary / secondary special,Married,House / apartment,31.34246575,12.77534247,0,0,0,High skill tech staff,2,23,0
36107,5009524,1,1,0,1,112.5,Working,Secondary / secondary special,Separated,Co-op apartment,32.87123288,3.109589041,1,0,0,Laborers,2,19,1
26540,5112786,0,0,1,0,90,Pensioner,Secondary / secondary special,Married,House / apartment,56.64383562,7.247955325,0,1,0,Unknown,2,7,0
10960,5046206,1,1,1,more,90,Pensioner,Lower secondary,Married,House / apartment,60.14794521,7.247955325,0,0,0,Unknown,more,7,0
36301,5092479,1,0,0,1,85.5,State servant,Secondary / secondary special,Married,Municipal apartment,41.13424658,18.8109589,0,0,0,Core staff,more,44,1
9299,5041498,1,1,1,0,90,Working,Secondary / secondary special,Civil marriage,House / apartment,35.1260274,0.424657534,0,0,0,Laborers,2,56,1
21879,5091235,1,1,0,more,112.5,Working,Higher education,Married,House / apartment,29.83561644,5.298630137,0,0,0,Drivers,more,55,0
3773,5023536,0,0,1,0,202.5,Working,Secondary / secondary special,Separated,House / apartment,38.1369863,2.476712329,0,0,0,Core staff,1,37,1
11242,5047653,0,1,0,1,162,Working,Secondary / secondary special,Separated,House / apartment,40.50958904,12.60547945,0,0,0,Sales staff,2,28,0
36309,5096093,0,0,0,1,135,Working,Secondary / secondary special,Married,House / apartment,29.39178082,4.435616438,1,1,0,Accountants,more,31,1
36188,5045495,0,0,0,1,72,Working,Higher education,Married,House / apartment,34.30684932,1.046575342,0,0,0,High skill tech staff,more,11,1
3188,5022808,0,0,1,1,180,Working,Higher education,Married,House / apartment,32.60273973,2.002739726,0,0,1,Sales staff,more,46,0
36384,5117962,0,1,0,0,135,Working,Incomplete higher,Civil marriage,House / apartment,27.58356164,0.6,1,0,0,Sales staff,2,41,1
28632,5116455,0,1,1,0,135,Working,Secondary / secondary special,Civil marriage,House / apartment,49.56164384,25.1890411,0,0,0,Medicine staff,2,20,1
18459,5069171,1,1,1,0,135,Working,Secondary / secondary special,Married,House / apartment,28.25753425,2.635616438,0,0,1,Sales staff,2,9,0
36338,5105737,1,0,1,more,292.5,Commercial associate,Secondary / secondary special,Married,House / apartment,33.88493151,1.84109589,0,0,0,Core staff,more,6,1
13751,5054280,1,0,0,0,716.3235,State servant,Secondary / secondary special,Single / not married,With parents,25.69041096,6.665753425,0,0,0,Laborers,1,35,1
36445,5149055,0,0,1,0,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,43.3890411,7.380821918,1,1,0,Unknown,2,19,1
257,5009116,0,0,0,0,157.5,Commercial associate,Higher education,Separated,With parents,43.11506849,1.183561644,0,0,0,Unknown,1,35,0
3043,5022617,1,1,1,0,202.5,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.9369863,4.58630137,0,0,1,Laborers,2,56,1
28513,5116304,0,0,1,0,180,Pensioner,Secondary / secondary special,Married,House / apartment,62.06849315,7.247955325,0,0,0,Unknown,2,57,1
36131,5022053,1,0,0,0,202.5,Working,Higher education,Single / not married,House / apartment,35.09863014,11.85479452,0,0,0,Unknown,1,14,1
11236,5047641,0,0,1,more,202.5,State servant,Higher education,Married,House / apartment,35.35342466,3.846575342,0,1,0,Core staff,more,53,0
13076,5053437,0,0,1,0,270,Pensioner,Higher education,Single / not married,House / apartment,58.35342466,7.247955325,0,1,0,Unknown,1,38,0
433,5009338,1,0,0,0,67.5,Working,Secondary / secondary special,Married,House / apartment,51.16164384,14.53150685,1,1,0,Security staff,2,12,0
1652,5010864,1,1,1,1,450,Commercial associate,Secondary / secondary special,Married,House / apartment,49.7890411,1.857534247,0,1,1,Core staff,more,51,1
36313,5096212,1,0,0,0,81,Working,Secondary / secondary special,Civil marriage,House / apartment,38.93424658,0.432876712,1,0,0,Low-skill Laborers,2,15,1
15280,5061968,0,0,1,0,225,Commercial associate,Secondary / secondary special,Married,House / apartment,62.73150685,4.964383562,0,0,0,Managers,2,14,0
36452,5149828,1,1,1,0,315,Working,Secondary / secondary special,Married,House / apartment,47.52876712,6.630136986,0,0,0,Managers,2,11,1
12016,5050634,1,1,0,1,270,Working,Secondary / secondary special,Civil marriage,House / apartment,43.8,1.621917808,1,0,0,Drivers,more,7,0
36109,5009749,0,1,0,0,315,Commercial associate,Higher education,Married,House / apartment,37.14246575,1.605479452,1,1,0,Unknown,2,15,1
30075,5125181,0,1,1,0,112.5,Commercial associate,Higher education,Married,House / apartment,31.75068493,0.2,0,1,1,Core staff,2,29,0
30829,5126152,0,0,0,0,135,Working,Secondary / secondary special,Widow,House / apartment,43.52876712,1.369863014,1,1,0,Laborers,1,47,1
36240,5056083,0,0,0,1,180,Working,Higher education,Married,House / apartment,31.8630137,10.3260274,0,0,0,Laborers,more,44,1
11866,5048633,1,0,0,more,135,Working,Secondary / secondary special,Married,House / apartment,37.36712329,1.178082192,0,0,0,Laborers,more,25,0
7632,5036219,0,0,1,0,99,Working,Secondary / secondary special,Married,House / apartment,42.71232877,2.438356164,0,0,0,Sales staff,2,38,0
14219,5056116,0,0,0,more,99,State servant,Secondary / secondary special,Married,House / apartment,39.34246575,12.76712329,0,1,1,Cleaning staff,more,32,0
36217,5051160,1,1,0,1,135,Working,Secondary / secondary special,Married,House / apartment,26.28493151,2.37260274,0,0,0,Laborers,more,29,1
16113,5065623,1,0,1,0,247.5,Commercial associate,Secondary / secondary special,Married,House / apartment,41.92328767,1.632876712,1,1,0,Laborers,2,37,0
20016,5088833,0,0,1,0,612,State servant,Secondary / secondary special,Married,House / apartment,34.41917808,10.17808219,0,0,1,Accountants,2,24,0
36183,5041496,1,1,1,0,90,Working,Secondary / secondary special,Civil marriage,House / apartment,35.1260274,0.424657534,0,0,0,Laborers,2,11,1
36215,5051085,1,1,0,more,315,Working,Secondary / secondary special,Married,House / apartment,32.97808219,0.539726027,0,0,0,Laborers,more,15,1
7339,5035423,0,0,1,0,292.5,Working,Higher education,Married,House / apartment,57.83835616,13.19452055,0,0,0,Core staff,2,45,0
29084,5117088,1,1,0,0,225,Commercial associate,Secondary / secondary special,Separated,House / apartment,51.10410959,24.36164384,0,0,0,Unknown,1,49,0
36308,5096079,1,0,0,1,207,State servant,Higher education,Married,Office apartment,40.79726027,7.18630137,0,0,0,Core staff,more,3,1
30831,5126155,0,0,0,0,135,Working,Secondary / secondary special,Widow,House / apartment,43.52876712,1.369863014,1,1,0,Laborers,1,42,1
34979,5148797,1,0,0,0,135,Commercial associate,Secondary / secondary special,Single / not married,With parents,25.86849315,1.879452055,0,0,1,Laborers,1,3,0
6075,5028950,0,0,1,0,103.5,Pensioner,Secondary / secondary special,Married,House / apartment,57.13150685,7.247955325,0,0,0,Unknown,2,12,0
10391,5045439,1,1,1,0,180,Pensioner,Higher education,Married,House / apartment,64.50958904,7.247955325,0,0,0,Unknown,2,50,0
10893,5046110,1,0,0,0,126,Working,Higher education,Single / not married,House / apartment,34.56438356,5.216438356,1,1,0,Core staff,1,47,0
22516,5092008,0,0,0,0,112.5,Commercial associate,Higher education,Married,With parents,54.03013699,4.216438356,0,0,0,Accountants,2,50,1
36227,5053148,0,0,1,1,126,Working,Secondary / secondary special,Married,House / apartment,33.26027397,2.134246575,0,0,0,Core staff,1,37,1
2376,5021802,0,0,1,0,225,Commercial associate,Secondary / secondary special,Married,House / apartment,33.76712329,0.512328767,0,0,0,Core staff,2,28,1
36361,5115417,0,0,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,31.47945205,8.536986301,1,1,0,Unknown,2,45,1
28804,5116679,0,0,1,0,89.1,Pensioner,Secondary / secondary special,Widow,House / apartment,58.75616438,7.247955325,0,0,0,Unknown,1,13,1
28775,5116647,0,0,1,0,135,Commercial associate,Secondary / secondary special,Widow,Co-op apartment,55.28219178,4.676712329,0,0,0,Sales staff,1,23,0
36392,5118541,0,0,1,0,72,Working,Secondary / secondary special,Married,House / apartment,49.67671233,2.846575342,0,1,0,Laborers,2,48,1
36409,5135483,1,0,1,0,135,State servant,Higher education,Single / not married,Municipal apartment,29.20547945,5.301369863,0,0,0,Core staff,1,9,1
36306,5096070,0,1,0,0,180,Working,Higher education,Married,House / apartment,40.93972603,4.520547945,1,0,1,Core staff,2,41,1
12880,5053168,0,1,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,45.78630137,6.556164384,0,0,0,Core staff,2,52,0
36108,5009744,0,1,0,0,315,Commercial associate,Higher education,Married,House / apartment,37.14246575,1.605479452,1,1,0,Unknown,2,19,1
28609,5116427,0,0,1,1,112.5,Working,Secondary / secondary special,Married,House / apartment,27.08219178,5.676712329,0,0,1,Sales staff,more,11,0
36368,5116547,0,0,0,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,58.3890411,7.247955325,0,0,0,Unknown,2,7,1
36304,5096068,0,1,0,0,180,Working,Higher education,Married,House / apartment,40.93972603,4.520547945,1,0,1,Core staff,2,48,1
29391,5117535,0,0,0,0,135,Working,Higher education,Married,House / apartment,42.65753425,4.435616438,0,1,0,Sales staff,2,14,0
18390,5069077,0,0,1,1,202.5,Commercial associate,Higher education,Civil marriage,House / apartment,38.54520548,8.473972603,0,0,1,Accountants,more,44,1
22280,5091728,0,1,1,0,90,Commercial associate,Secondary / secondary special,Married,House / apartment,38.6739726,6.216438356,0,0,0,Medicine staff,2,21,0
4270,5024213,0,1,1,0,540,Commercial associate,Higher education,Married,House / apartment,43.01917808,0.506849315,0,1,0,Unknown,2,43,1
36397,5125761,1,0,1,0,270,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.36986301,4.369863014,0,0,0,Cooking staff,1,5,1
7939,5139990,0,0,1,1,121.5,Pensioner,Secondary / secondary special,Married,House / apartment,51.49863014,7.247955325,0,1,0,Unknown,more,39,0
2035,5021389,0,0,1,1,121.5,Working,Higher education,Married,House / apartment,30.15616438,2.087671233,0,0,0,Unknown,more,51,1
3830,5023609,0,0,0,0,135,Working,Secondary / secondary special,Married,House / apartment,34.31506849,0.391780822,0,0,0,Unknown,2,36,0
28338,5116068,0,1,1,0,247.5,Working,Secondary / secondary special,Married,House / apartment,50.09041096,3.049315068,0,0,0,Unknown,2,8,0
36382,5117501,1,0,1,0,90,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,45.09315068,1.928767123,1,0,0,Low-skill Laborers,2,34,1
36365,5115878,0,0,1,0,112.5,Working,Secondary / secondary special,Married,House / apartment,58.24383562,30.88219178,0,0,0,Unknown,2,33,1
36456,5150337,1,0,1,0,112.5,Working,Secondary / secondary special,Single / not married,Rented apartment,25.17260274,3.268493151,0,0,0,Laborers,1,13,1
4878,5024953,1,1,1,1,180,Working,Higher education,Married,House / apartment,33.26849315,1.17260274,1,1,0,Security staff,more,9,0
36186,5042269,1,0,1,0,270,Commercial associate,Secondary / secondary special,Married,House / apartment,35.51780822,6.430136986,0,0,0,Drivers,2,38,1
27803,5114650,1,0,0,0,247.5,Commercial associate,Secondary / secondary special,Married,Rented apartment,52.03561644,4.78630137,0,0,1,Security staff,2,39,0
36235,5054387,1,1,0,0,292.5,Commercial associate,Higher education,Single / not married,House / apartment,38.49315068,10.08219178,1,1,0,Laborers,1,25,1
36316,5096664,1,1,0,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,39.45205479,7.247955325,0,1,0,Unknown,2,13,1
3342,5022987,0,0,1,0,76.5,Pensioner,Secondary / secondary special,Married,House / apartment,66.60547945,7.247955325,0,1,0,Unknown,2,10,0
26343,5111116,0,0,1,1,315,Working,Higher education,Married,House / apartment,31.78630137,3.98630137,0,0,0,Managers,more,25,0
36375,5116907,1,1,1,0,211.5,Pensioner,Secondary / secondary special,Married,House / apartment,41.22465753,20.69315068,0,0,0,Core staff,2,7,1
8375,5037058,0,0,1,0,135,Pensioner,Secondary / secondary special,Separated,House / apartment,59.69863014,7.247955325,0,0,0,Unknown,1,53,1
35802,5149852,1,1,1,more,225,Working,Secondary / secondary special,Married,House / apartment,40.88493151,14.88767123,1,1,0,Unknown,more,11,0
23030,5095034,1,1,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,28.23287671,0.424657534,0,0,0,Laborers,2,21,0
35475,5149450,1,1,1,0,238.5,Working,Higher education,Married,With parents,33.3890411,7.128767123,0,0,0,Laborers,2,4,0
19859,5088439,0,0,1,0,225,Working,Secondary / secondary special,Single / not married,House / apartment,48.87671233,4.950684932,0,0,0,Core staff,1,13,0
2686,5022168,1,0,0,0,45,Working,Lower secondary,Married,House / apartment,36.18356164,2.098630137,0,1,0,Low-skill Laborers,2,55,0
36212,5050682,0,0,0,0,157.5,Working,Secondary / secondary special,Widow,House / apartment,49.21369863,0.539726027,0,0,0,Cleaning staff,1,22,1
990,5010061,0,0,1,0,112.5,Working,Secondary / secondary special,Married,House / apartment,45.40547945,12.53150685,0,0,0,Unknown,2,19,1
18323,5068991,0,0,0,0,180,Working,Higher education,Separated,House / apartment,38.70410959,5.638356164,1,1,1,Accountants,1,18,0
29100,5117122,0,0,1,0,76.5,Pensioner,Lower secondary,Separated,House / apartment,58.70410959,7.247955325,0,0,0,Unknown,1,58,1
6415,5029379,0,0,1,0,180,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,57.10684932,7.247955325,0,0,0,Unknown,2,25,0
56,5008868,0,0,1,1,211.5,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.41643836,19.44931507,0,0,0,Core staff,more,24,0
1662,5010877,0,0,1,0,45,Pensioner,Secondary / secondary special,Married,House / apartment,56.67945205,7.247955325,0,1,0,Unknown,2,55,0
9724,5042064,0,1,0,more,270,State servant,Higher education,Married,House / apartment,43.98082192,20.1890411,1,1,0,Unknown,more,53,1
28865,5116761,0,0,1,0,90,Pensioner,Incomplete higher,Separated,House / apartment,66.10684932,7.247955325,0,0,0,Unknown,1,60,1
36363,5115610,0,0,1,0,202.5,Working,Secondary / secondary special,Married,House / apartment,39.7890411,9.369863014,0,0,0,Core staff,2,4,1
28910,5116815,1,0,1,0,85.5,State servant,Secondary / secondary special,Separated,Co-op apartment,45.32054795,23.9369863,1,1,0,Core staff,1,49,0
36219,5052653,0,0,1,0,103.5,Working,Secondary / secondary special,Married,House / apartment,28.48219178,1.545205479,0,0,1,IT staff,2,10,1
30929,5126299,0,0,0,0,112.5,Working,Secondary / secondary special,Civil marriage,House / apartment,43.09863014,12.29589041,1,0,0,Accountants,2,47,1
34630,5146343,1,0,0,0,135,Working,Secondary / secondary special,Single / not married,House / apartment,25.4109589,1.350684932,0,0,0,Laborers,1,3,0
21225,5090216,1,1,1,0,135,Working,Secondary / secondary special,Married,House / apartment,29.34794521,0.594520548,0,0,0,Laborers,2,55,1
24901,5100153,0,1,0,0,144,Working,Secondary / secondary special,Widow,House / apartment,39.47123288,3.684931507,0,0,0,HR staff,1,17,0
36385,5118046,0,0,0,0,81,Pensioner,Secondary / secondary special,Widow,House / apartment,65.48493151,7.247955325,0,1,0,Unknown,1,12,1
36116,5010538,0,1,0,more,135,Working,Secondary / secondary special,Married,House / apartment,38.15890411,8.361643836,0,0,0,Laborers,more,19,1
7151,5078963,0,0,1,0,157.5,Commercial associate,Secondary / secondary special,Separated,House / apartment,32.90136986,5.238356164,0,1,0,Sales staff,1,17,0
28974,5116903,0,0,1,0,90,Working,Secondary / secondary special,Married,House / apartment,32.29863014,1.010958904,1,0,0,Unknown,2,27,0
11875,5048642,0,0,0,0,157.5,Pensioner,Secondary / secondary special,Separated,House / apartment,65.88493151,7.247955325,0,0,0,Unknown,1,14,0
24100,5096670,0,0,0,0,90,Pensioner,Secondary / secondary special,Widow,House / apartment,58.73972603,7.247955325,0,1,0,Unknown,1,3,0
21371,5090398,0,1,1,0,225,Pensioner,Secondary / secondary special,Single / not married,House / apartment,59.98630137,7.247955325,0,0,0,Unknown,1,7,0
18167,5068800,1,1,1,1,112.5,Working,Higher education,Married,House / apartment,32.35342466,1.468493151,0,0,1,Accountants,more,54,0
36329,5105536,1,1,0,0,202.5,Working,Secondary / secondary special,Married,House / apartment,27.92054795,6.076712329,0,0,0,Drivers,2,7,1
22477,5091957,0,0,1,0,135,Commercial associate,Secondary / secondary special,Married,House / apartment,42.44109589,1.380821918,0,0,0,Laborers,2,17,0
36113,5009894,0,0,0,0,180,Pensioner,Secondary / secondary special,Married,House / apartment,60.64109589,7.247955325,0,0,0,Unknown,2,19,1
35975,5150067,0,0,1,more,225,Commercial associate,Higher education,Married,House / apartment,30.93150685,1.712328767,1,0,1,Core staff,more,26,0
14796,5061360,1,0,1,0,65.25,Pensioner,Higher education,Married,House / apartment,57.18356164,7.247955325,0,0,0,Unknown,2,46,1
14403,5058366,0,0,0,0,90,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,55.1369863,7.247955325,0,0,0,Unknown,1,51,1
13779,5054312,0,0,0,0,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,55.57534247,4.750684932,1,1,0,High skill tech staff,2,28,1
19474,5087502,0,1,1,0,157.5,Commercial associate,Higher education,Civil marriage,House / apartment,42,2.778082192,1,1,0,Managers,2,19,0
3771,5023534,0,0,1,0,202.5,Working,Secondary / secondary special,Separated,House / apartment,38.1369863,2.476712329,0,0,0,Core staff,1,40,1
23514,5095815,0,0,0,more,112.5,Working,Incomplete higher,Married,Municipal apartment,42.32054795,6.767123288,1,0,0,Sales staff,more,51,1
33815,5143030,1,1,0,0,225,Commercial associate,Secondary / secondary special,Married,House / apartment,36.13150685,0.621917808,0,0,0,Managers,2,43,0
36317,5096743,0,0,1,0,180,Working,Lower secondary,Widow,House / apartment,46.03561644,6.101369863,1,1,0,Cleaning staff,1,41,1
16740,5066984,1,0,1,0,180,Working,Secondary / secondary special,Separated,House / apartment,49.21917808,0.597260274,0,0,0,Laborers,1,27,0
7063,5078887,0,1,1,0,148.5,Commercial associate,Secondary / secondary special,Married,Office apartment,46.86849315,6.238356164,0,0,0,Core staff,2,27,0
24934,5117313,0,0,1,1,157.5,Commercial associate,Secondary / secondary special,Married,House / apartment,35.67671233,10.76986301,1,1,0,Laborers,more,52,1
19570,5087747,0,0,1,0,112.5,Pensioner,Lower secondary,Married,House / apartment,68.00273973,7.247955325,0,0,0,Unknown,2,30,0
36322,5100282,1,0,0,0,81,Pensioner,Secondary / secondary special,Widow,House / apartment,65.48493151,7.247955325,0,1,0,Unknown,1,11,1
9933,5042355,1,1,1,more,202.5,Working,Higher education,Married,House / apartment,30.49863014,2.512328767,0,1,0,Laborers,more,35,0
4382,5024365,1,0,1,1,81,Working,Secondary / secondary special,Married,House / apartment,33.73424658,3.008219178,0,0,0,Laborers,more,0,0
27732,5114536,0,0,1,0,126,State servant,Incomplete higher,Married,House / apartment,48.02465753,4.701369863,0,0,0,Unknown,2,25,1
36157,5028478,1,0,1,0,148.5,Working,Secondary / secondary special,Married,House / apartment,23.80547945,3.391780822,0,1,0,Laborers,2,5,1
36148,5024310,0,0,1,0,216,Pensioner,Secondary / secondary special,Widow,House / apartment,54.86027397,7.247955325,0,0,0,Unknown,1,22,1
29485,5117788,0,1,0,more,162,Commercial associate,Incomplete higher,Married,House / apartment,26.47123288,2.180821918,1,1,0,Core staff,more,50,1
36369,5116548,0,0,0,0,135,Pensioner,Secondary / secondary special,Single / not married,House / apartment,58.3890411,7.247955325,0,0,0,Unknown,2,29,1
4432,5024430,0,1,1,0,162,Pensioner,Higher education,Married,House / apartment,65.44109589,7.247955325,0,1,0,Unknown,2,56,1
29641,5118048,1,0,0,1,76.5,Working,Secondary / secondary special,Married,House / apartment,28.10136986,1.432876712,0,0,0,Drivers,more,38,0
9327,5041538,0,0,1,1,135,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,52.8630137,7.247955325,0,0,0,Unknown,more,38,1
25433,5105086,0,1,1,0,360,Working,Higher education,Married,House / apartment,48.66575342,6.830136986,0,1,0,Unknown,2,28,0
8348,5146550,0,0,1,0,180,Commercial associate,Secondary / secondary special,Married,House / apartment,48.8109589,3.520547945,0,0,0,Medicine staff,2,39,0
20168,5089026,0,0,0,0,171,Working,Secondary / secondary special,Married,House / apartment,47.96712329,4.515068493,0,0,0,Laborers,2,41,0
14255,5056175,0,0,1,more,85.5,Working,Secondary / secondary special,Civil marriage,House / apartment,27.61917808,0.682191781,0,0,0,Sales staff,more,4,0
10338,5045373,0,0,1,0,225,Working,Secondary / secondary special,Married,House / apartment,56.77534247,15.30684932,0,0,0,Unknown,2,5,0
24687,5117571,0,1,0,0,112.5,Working,Higher education,Married,House / apartment,32.31780822,5.846575342,0,0,0,Laborers,2,49,0
18923,5078945,0,0,1,more,180,Working,Incomplete higher,Separated,House / apartment,33.56986301,9.578082192,1,0,0,Unknown,more,51,1
11831,5048580,0,0,1,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,59.12054795,7.247955325,0,0,0,Unknown,2,7,0
17095,5067431,0,0,1,0,112.5,Pensioner,Secondary / secondary special,Widow,House / apartment,56.2630137,7.247955325,0,0,0,Unknown,1,56,1
154,5008978,0,0,1,0,112.5,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794521,7.247955325,0,0,0,Unknown,2,38,0
27138,5113685,0,0,1,0,292.5,Working,Secondary / secondary special,Married,House / apartment,33.91506849,12.2,0,0,1,Sales staff,2,50,1
36439,5148602,1,0,1,0,225,Pensioner,Secondary / secondary special,Married,House / apartment,62.86575342,7.247955325,0,0,0,Unknown,2,15,1
36132,5022313,0,0,0,more,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,34.50684932,13.42465753,0,1,0,High skill tech staff,more,15,1
36273,5079168,1,1,0,0,202.5,Working,Secondary / secondary special,Married,With parents,37.5890411,3.819178082,0,0,0,Laborers,2,25,1
22615,5092136,0,0,1,0,135,Working,Secondary / secondary special,Married,House / apartment,46.57534247,15.7260274,0,0,0,Cooking staff,2,56,1
36181,5041175,0,0,1,1,180,Working,Incomplete higher,Married,Municipal apartment,29.4630137,0.178082192,1,1,0,Core staff,more,36,1
6093,5028974,0,1,1,more,180,Commercial associate,Secondary / secondary special,Married,House / apartment,31.13150685,1.975342466,0,1,0,High skill tech staff,more,34,0
36206,5048368,0,0,0,0,108,Pensioner,Secondary / secondary special,Widow,House / apartment,60.77260274,7.247955325,0,0,0,Unknown,1,23,1
36033,5150238,0,1,1,0,90,Working,Secondary / secondary special,Married,House / apartment,52.28493151,0.350684932,1,0,0,Laborers,2,53,1
33127,5142184,1,1,1,more,450,Commercial associate,Higher education,Married,House / apartment,48.87945205,11.79452055,1,1,0,Managers,more,49,1
36112,5009754,0,1,0,0,315,Commercial associate,Higher education,Married,House / apartment,37.14246575,1.605479452,1,1,0,Unknown,2,36,1
29687,5118107,1,1,0,0,90,Working,Secondary / secondary special,Single / not married,House / apartment,22.75068493,3.016438356,1,0,0,Laborers,1,17,0
36402,5125952,1,0,1,0,135,Working,Secondary / secondary special,Married,Rented apartment,39.88767123,7.120547945,0,0,0,Laborers,2,31,1
4436,5024434,0,1,1,0,162,Pensioner,Higher education,Married,House / apartment,65.44109589,7.247955325,0,1,0,Unknown,2,28,0
21701,5091022,0,0,0,0,157.5,Working,Secondary / secondary special,Married,Municipal apartment,38.78082192,18.2739726,0,0,1,Medicine staff,2,21,0
36127,5021403,0,0,1,0,189,Pensioner,Incomplete higher,Widow,House / apartment,59.84931507,7.247955325,0,0,0,Unknown,1,36,1
7090,5033829,0,1,1,more,135,Working,Secondary / secondary special,Married,House / apartment,37.81643836,6.052054795,0,1,0,Laborers,more,29,1
36356,5114216,1,1,0,more,225,Working,Secondary / secondary special,Single / not married,House / apartment,38.72876712,7.2,1,0,0,Managers,more,44,1
5709,5028480,1,0,1,0,148.5,Working,Secondary / secondary special,Married,House / apartment,23.80547945,3.391780822,0,1,0,Laborers,2,18,0
4493,5024509,0,0,1,0,94.5,Pensioner,Secondary / secondary special,Married,House / apartment,64.13150685,7.247955325,0,0,0,Unknown,2,11,0
13272,5053676,0,1,1,0,225,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.08219178,3.917808219,0,1,0,High skill tech staff,1,33,1
16910,5067206,1,0,0,1,405,Working,Secondary / secondary special,Married,With parents,34.7260274,3.638356164,0,0,0,Drivers,more,1,0
16405,5066511,0,0,1,0,157.5,Working,Secondary / secondary special,Single / not married,House / apartment,48.04931507,21.03013699,0,1,0,Private service staff,1,4,0
32355,5137005,1,1,0,0,139.5,Working,Secondary / secondary special,Married,House / apartment,50.22739726,22.30958904,1,1,0,Drivers,2,14,0
5563,5028300,1,1,1,0,360,Commercial associate,Incomplete higher,Married,House / apartment,54.33972603,1.306849315,0,0,0,Managers,2,38,0
